Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,61.689999,61.966000,61.650002,61.830002,61.830002,27167
2021-04-06,62.560001,62.688000,62.439999,62.570000,62.570000,28372
2021-04-07,62.312000,62.410000,62.139999,62.230000,62.230000,15663
2021-04-08,62.630001,62.689999,62.299999,62.439999,62.439999,14347
2021-04-09,62.599998,62.717999,62.570000,62.689999,62.689999,21036
2021-04-12,62.930000,63.088001,62.750000,62.820000,62.820000,68857
2021-04-13,63.062000,63.098000,62.740002,62.896000,62.896000,2083
2021-04-14,62.900002,63.040001,62.840000,62.875999,62.875999,5770
2021-04-15,62.778000,63.217999,62.778000,63.180000,63.180000,9475
2021-04-16,63.208000,63.380001,63.139999,63.335999,63.335999,3186
2021-04-19,63.330002,63.368000,62.877998,62.889999,62.889999,17686
2021-04-20,62.757999,62.810001,62.214001,62.214001,62.214001,45316
2021-04-21,62.490002,62.770000,62.428001,62.716000,62.716000,2240
2021-04-22,62.888000,63.150002,62.799999,63.150002,63.150002,13100
2021-04-23,62.507999,62.908001,62.278000,62.889999,62.889999,9765
2021-04-26,62.771999,63.254002,62.680000,63.035999,63.035999,6697
2021-04-27,63.127998,63.180000,62.799999,62.939999,62.939999,5473
2021-04-28,63.161999,63.161999,62.939999,62.939999,62.939999,11840
2021-04-29,63.112000,63.198002,62.849998,62.869999,62.869999,8381
2021-04-30,63.029999,63.169998,62.900002,63.160000,63.160000,46905
2021-05-03,63.334000,63.500000,63.160000,63.230000,63.230000,4823
2021-05-04,63.254002,63.543999,62.500000,62.596001,62.596001,28947
2021-05-05,63.208000,63.388000,63.127998,63.306000,63.306000,10192
2021-05-06,63.158001,63.178001,62.548000,62.959999,62.959999,11500
2021-05-07,63.348000,63.417999,63.110001,63.335999,63.335999,6142
2021-05-10,63.299999,63.368000,63.088001,63.216000,63.216000,55233
2021-05-11,62.470001,62.470001,61.562000,61.959999,61.959999,35874
2021-05-12,62.108002,62.122002,61.669998,61.669998,61.669998,29898
2021-05-13,61.060001,62.125999,60.841999,61.896000,61.896000,8674
2021-05-14,62.088001,62.400002,61.950001,62.400002,62.400002,21809
2021-05-17,62.459999,62.459999,62.124001,62.127998,62.127998,7872
2021-05-18,62.369999,62.369999,61.866001,61.970001,61.970001,13259
2021-05-19,61.001999,61.158001,60.419998,60.784000,60.784000,32929
2021-05-20,61.372002,61.939999,61.071999,61.939999,61.939999,1899
2021-05-21,61.966000,62.464001,61.939999,62.271999,62.271999,5426
2021-05-25,62.542000,62.568001,62.282001,62.282001,62.282001,17623
2021-05-26,62.456001,62.529999,62.250000,62.507999,62.507999,27802
2021-05-27,62.430000,62.858002,62.380001,62.728001,62.728001,14082
2021-05-28,62.900002,63.152000,62.862000,62.869999,62.869999,6360
2021-05-31,62.804001,62.834000,62.438000,62.442001,62.442001,4108
2021-06-01,62.638000,62.964001,62.419998,62.556000,62.556000,12502
2021-06-02,62.594002,62.835999,62.500000,62.799999,62.799999,8416
2021-06-03,62.792000,62.972000,62.299999,62.972000,62.972000,9915
2021-06-04,62.967999,63.169998,62.933998,63.105999,63.105999,9094
2021-06-07,63.237999,63.318001,62.919998,62.919998,62.919998,12218
2021-06-08,63.138000,63.299999,62.889999,62.952000,62.952000,9009
2021-06-09,63.146000,63.222000,63.042000,63.175999,63.175999,5423
2021-06-10,63.175999,63.563999,63.000000,63.380001,63.380001,2524
2021-06-11,63.287998,63.785999,63.287998,63.756001,63.756001,14596
2021-06-14,63.950001,63.950001,63.570000,63.604000,63.604000,6493
2021-06-15,63.962002,64.047997,63.646000,63.646000,63.646000,2280
2021-06-16,63.792000,63.840000,63.678001,63.776001,63.776001,3680
2021-06-17,63.914001,64.571999,63.914001,64.571999,64.571999,3186
2021-06-18,64.652000,64.652000,64.089996,64.138000,64.138000,5254
2021-06-21,63.754002,64.440002,63.750000,64.440002,64.440002,13049
2021-06-22,64.646004,64.834000,64.519997,64.834000,64.834000,6805
2021-06-23,64.973999,64.973999,64.646004,64.711998,64.711998,16081
2021-06-24,64.858002,65.185997,64.858002,65.082001,65.082001,11646
2021-06-25,65.059998,65.194000,64.977997,65.183998,65.183998,9206
2021-06-28,65.330002,65.524002,65.253998,65.278000,65.278000,6418
2021-06-29,65.508003,65.858002,65.508003,65.646004,65.646004,4648
2021-06-30,65.739998,65.998001,65.552002,65.989998,65.989998,6808
2021-07-01,66.155998,66.307999,65.919998,66.195999,66.195999,6842
2021-07-02,66.498001,66.769997,66.489998,66.629997,66.629997,6517
2021-07-05,66.713997,66.853996,66.627998,66.835999,66.835999,7919
2021-07-06,66.599998,67.068001,66.543999,66.632004,66.632004,6972
2021-07-07,66.931999,67.220001,66.931999,67.134003,67.134003,9298
2021-07-08,66.921997,66.921997,65.919998,66.316002,66.316002,18656
2021-07-09,66.648003,67.003998,66.500000,67.003998,67.003998,8649
2021-07-12,67.029999,67.269997,66.750000,67.209999,67.209999,5142
2021-07-13,67.269997,67.692001,67.230003,67.692001,67.692001,13778
2021-07-14,67.396004,67.674004,67.362000,67.362000,67.362000,8096
2021-07-15,67.264000,67.335999,67.150002,67.330002,67.330002,9063
2021-07-16,67.260002,67.519997,67.024002,67.068001,67.068001,7736
2021-07-19,66.606003,66.669998,65.389999,65.814003,65.814003,18238
2021-07-20,66.213997,66.867996,65.977997,66.793999,66.793999,6459
2021-07-21,67.028000,67.248001,66.961998,67.148003,67.148003,2894
2021-07-22,67.414001,67.494003,67.136002,67.452003,67.452003,8107
2021-07-23,67.818001,68.227997,67.807999,68.227997,68.227997,7627
2021-07-26,68.059998,68.176003,67.849998,68.176003,68.176003,8587
2021-07-27,68.174004,68.260002,67.505997,67.505997,67.505997,8605
2021-07-28,67.860001,68.115997,67.837997,67.931999,67.931999,2784
2021-07-29,67.762001,67.874001,67.582001,67.821999,67.821999,10806
2021-07-30,67.157997,67.652000,67.103996,67.524002,67.524002,9526
2021-08-02,67.830002,67.987999,67.589996,67.676003,67.676003,25367
2021-08-03,67.489998,67.531998,67.141998,67.517998,67.517998,8762
2021-08-04,67.814003,67.959999,67.500000,67.820000,67.820000,24150
2021-08-05,67.811996,68.038002,67.800003,68.036003,68.036003,11446
2021-08-06,68.239998,68.718002,68.185997,68.683998,68.683998,3370
2021-08-09,68.627998,68.736000,68.557999,68.736000,68.736000,11339
2021-08-10,68.804001,69.134003,68.776001,69.014000,69.014000,3964
2021-08-11,69.033997,69.101997,68.900002,68.940002,68.940002,6522
2021-08-12,69.040001,69.112000,68.938004,69.098000,69.098000,5337
2021-08-13,69.306000,69.405998,68.980003,68.994003,68.994003,3187
2021-08-16,68.875999,69.015999,68.697998,68.917999,68.917999,4562
2021-08-17,69.117996,69.337997,69.000000,69.262001,69.262001,5905
2021-08-18,69.267998,69.304001,69.059998,69.209999,69.209999,7398
2021-08-19,68.153999,68.716003,67.900002,68.603996,68.603996,15875
2021-08-20,68.608002,69.295998,68.321999,69.236000,69.236000,8883
2021-08-23,69.382004,69.690002,69.236000,69.678001,69.678001,4145
2021-08-24,69.737999,69.800003,69.561996,69.660004,69.660004,7780
2021-08-25,69.760002,69.767998,69.650002,69.767998,69.767998,2714
2021-08-26,69.599998,69.748001,69.424004,69.461998,69.461998,11859
2021-08-27,69.456001,69.722000,69.400002,69.667999,69.667999,24548
2021-08-30,69.725998,70.153999,69.708000,70.153999,70.153999,22971
2021-08-31,70.054001,70.078003,69.660004,70.040001,70.040001,6753
2021-09-01,70.138000,70.442001,69.697998,69.762001,69.762001,18840
2021-09-02,69.725998,69.900002,69.702003,69.886002,69.886002,46676
2021-09-03,69.788002,69.867996,69.430000,69.655998,69.655998,15805
2021-09-06,69.802002,69.959999,69.802002,69.938004,69.938004,5668
2021-09-07,69.806000,69.825996,69.512001,69.613998,69.613998,23478
2021-09-08,69.629997,69.804001,69.384003,69.528000,69.528000,32822
2021-09-09,69.346001,69.980003,69.274002,69.676003,69.676003,10589
2021-09-10,69.486000,69.627998,69.160004,69.188004,69.188004,15287
2021-09-13,69.356003,69.526001,68.912003,68.938004,68.938004,13281
2021-09-14,69.026001,69.176003,68.720001,68.875999,68.875999,3765
2021-09-15,68.823997,68.830002,68.580002,68.814003,68.814003,19145
2021-09-16,69.314003,69.536003,68.987999,69.106003,69.106003,4595
2021-09-17,69.480003,69.480003,69.000000,69.040001,69.040001,15439
2021-09-20,68.393997,68.405998,67.774002,67.781998,67.781998,48053
2021-09-21,68.248001,68.545998,67.739998,68.181999,68.181999,36938
2021-09-22,68.178001,68.480003,67.989998,68.480003,68.480003,13216
2021-09-23,68.781998,69.311996,68.699997,69.225998,69.225998,43485
2021-09-24,69.026001,69.405998,68.900002,69.206001,69.206001,18982
2021-09-27,69.790001,69.797997,69.255997,69.379997,69.379997,9456
2021-09-28,69.206001,69.258003,68.099998,68.162003,68.162003,18476
2021-09-29,68.396004,68.944000,68.367996,68.718002,68.718002,24500
2021-09-30,69.162003,69.162003,68.538002,68.538002,68.538002,25135
2021-10-01,67.316002,68.125999,67.300003,68.125999,68.125999,23146
2021-10-04,68.195999,68.325996,67.365997,67.396004,67.396004,10298
2021-10-05,67.795998,68.706001,67.713997,68.638000,68.638000,13602
2021-10-06,68.110001,68.393997,67.781998,68.206001,68.206001,26341
2021-10-07,69.292000,69.963997,69.209999,69.851997,69.851997,19441
2021-10-08,69.685997,69.688004,69.349998,69.444000,69.444000,5344
2021-10-11,69.050003,69.629997,69.000000,69.617996,69.617996,2982
2021-10-12,68.405998,69.152000,68.405998,69.005997,69.005997,19109
2021-10-13,68.641998,68.938004,68.445999,68.503998,68.503998,52567
2021-10-14,69.042000,69.760002,68.980003,69.760002,69.760002,23469
2021-10-15,70.008003,70.416000,69.975998,70.367996,70.367996,12253
2021-10-18,70.365997,70.552002,69.994003,70.494003,70.494003,18557
2021-10-19,70.470001,70.846001,70.426003,70.846001,70.846001,5539
2021-10-20,70.862000,71.181999,70.862000,71.127998,71.127998,6998
2021-10-21,70.952003,71.230003,70.930000,71.071999,71.071999,12854
2021-10-22,71.307999,71.559998,71.180000,71.208000,71.208000,12004
2021-10-25,71.375999,71.727997,71.241997,71.727997,71.727997,19082
2021-10-26,72.143997,72.407997,72.029999,72.316002,72.316002,8407
2021-10-27,72.099998,72.138000,71.858002,72.043999,72.043999,22141
